"DATE","ACE","ALB1","ALB2","ALTH","ANDE","ANGO","ARDA","ATKI","BAMB","BENN","BEVE","BIDD","BLUE","BOA1","BOKA","BOYU","BROA","BROW","BRUC","BRYD","BYEN","CAIR","CAME","CAMP","CAPA","CASU","CHAN","CHIT","CLIF","COLL","COOM","CORR","COYR","CRAC","CRAN","DAVI","DOBA","DOWE","DULB","DUMB","DUND","EGAN","EGRE","ELLE","ENEM","ESP2","ESP3","ESP4","ESP5","FLAG","FORR","FRAS","GARD","GIBB","GING","GNO1","GNO2","GOON","GOOR","GORE","GOUN","GUND","GURA","HARV","HEBI","HIND","JAND","JASP","JOON","KARA","KENT","KOND","KWOB","KWOR","LITT","LOGU","MARI","MART","MCLA","MEAR","METT","MIRI","MLGR","MOAT","MOLL","MORT","MTMA","MUIR","MUNG","MURA","MURR","NAMB","NGOP","NINA","NINE","NONA","NOOB","NOON","OWIN","PABE","PALL","PARK","PILL","PINJ","PLAN","PLEA","POOR","POWE","QUEE","RANG","REDB","REDM","RONN","SHAR","STAT","STRE","TAAN","TAAR","THOM","TOOL","TORD","TOWE","TWIN","UNIC","VARL","WAGI","WALB","WALL","WALY","WANN","WARD","WARG","WARR","WEST","WHEA","WHIA","WHIN","WHIW","WILD","WILS","YAAL","YARN","YARR","YEAL","YELL","YURI"
1988-01-03,NA,NA,NA,NA,NA,NA,NA,NA,14.0175438596491,NA,112.247502774695,NA,NA,NA,NA,73.5139442231076,57.027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3035294117647,19.182755388941,31.9985253543906,NA,NA,NA,NA,NA,NA,31.4761904761905,99.1691919191919,99.015391014975,NA,NA,NA,NA,14.3650398243141,92,NA,NA,NA,NA,NA,NA,16.6148082855884,122.344927536232,NA,80.6136363636364,13.5253164556962,NA,NA,95.5476673427992,76.4812834224599,NA,NA,NA,NA,44.4,NA,112.3434313493,29.9790808240887,8.2779296519045,16.118224987719,NA,NA,NA,NA,NA,NA,NA,10.9143041237113,NA,59.3408029878618,NA,NA,NA,NA,NA,101.471497584541,NA,NA,NA,139.625,NA,74.3655462184874,131.651079136691,NA,53.2112693197031,30.7783251231527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66003510825044,NA,NA,25.6511508951407,89.8620689655172,NA,NA,NA,NA,55.195652173913,167.962560731638,40.6013309134906,NA,NA,NA,NA,NA,NA,NA,NA,119.459016393443,19.9144254278729,NA,NA,NA,NA,NA,21.2916666666667
1988-01-05,98.51370614,NA,NA,81.3159322,NA,26.8385416666667,NA,139.9035433,NA,82.99542484,NA,58.21153846,NA,NA,NA,NA,NA,NA,NA,144.3196286,NA,97.54765146,NA,NA,NA,NA,NA,NA,NA,108.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7422775472568,NA,NA,NA,134.6133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.1715161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4464516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.69557326,NA,NA,NA,NA,97.7616424636955,NA,NA,NA,98.62179487,NA,NA,78.44194603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.76190476,NA,NA,NA,NA,NA
1988-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7540106951872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.921739130435,NA,NA,NA,NA,NA,NA,NA,NA,59.7042716319825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-01-21,NA,91.6797966963151,54.1222385861561,88.37084746,NA,25.1736111111111,NA,137.1161417,NA,86.4751634,NA,60.50961538,NA,NA,NA,NA,NA,NA,NA,129.7440318,NA,97.62457454,NA,NA,NA,NA,NA,NA,NA,72.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13324112494237,NA,NA,108.531335149864,127.6,NA,NA,NA,99.41353937,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.3859112,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8707482993197,NA,NA,17.8316129032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5657894736842,62.08833317,NA,NA,NA,NA,85.5052578868303,NA,NA,NA,75.80769231,NA,NA,92.8683565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.73083475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5047923322684,NA,NA,NA,NA,44.70238095,NA,NA,NA,46.9526730937774,NA
1988-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4912280701754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.201138519924,NA,NA,NA,NA,NA,NA,NA,NA,26.177358490566,NA,NA,NA,NA,NA,NA,NA,107.804806991988,NA,NA,17.8693467336683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7377232142857,NA,NA,NA,NA,NA,NA,151.291847826087,NA,NA,NA,NA,NA,105.92786259542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.951877766671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.751677852349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-01-28,NA,NA,NA,NA,NA,NA,101.4026846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.443713,39.22413793,NA,NA,NA,NA,113.3180778,NA,NA,NA,NA,NA,NA,NA,85.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.4736446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5562372,NA,NA,NA,NA,NA,NA,117.8858521,NA,NA,NA,NA,NA,NA,NA,NA,147.1294118,NA,114.6013986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.1276596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.097479,NA,NA,NA,NA,NA,36.62935089,NA,NA
1988-02-06,93.40734649,NA,NA,104.4135593,NA,NA,NA,143.7125984,NA,92.05424837,NA,64.41346154,NA,NA,NA,NA,NA,NA,NA,145.0928382,NA,101.0789653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.0866667,NA,NA,NA,120.5555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.7166922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.61843299,NA,NA,NA,NA,NA,NA,NA,NA,96.32692308,NA,NA,87.71790679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.22214651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.54761905,NA,NA,NA,NA,NA
1988-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.66625474,NA,NA,NA,NA,64.37764085,75.9787234,88.1152019,68.64485981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.62696963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2916666666667,NA,NA,54.53776683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8034188,78.50437318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.78749495,NA,NA,NA,17.28055077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.214421252372,NA,NA,NA,NA,NA,NA,NA,NA,31.0905660377359,NA,NA,NA,NA,NA,NA,NA,116.115804806992,NA,NA,19.2110552763819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9583333333333,NA,NA,NA,NA,NA,NA,170.70652173913,NA,NA,NA,NA,NA,114.191603053435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.459945737541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5637583892617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988-02-13,NA,NA,NA,NA,NA,NA,120.966443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5862069,NA,NA,NA,NA,135.2839937,NA,NA,NA,NA,NA,NA,NA,91.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.002259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.3184267,NA,NA,NA,NA,NA,NA,NA,179.7014315,NA,NA,NA,NA,NA,NA,145.6109325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.4755245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.9787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
